local_ts,epoch_sec,sec_from_open,ticker,instrument_symbol,strike,yes_bid,yes_ask,yes_bid_size,yes_ask_size,yes_bid_usd,yes_ask_usd,no_ask_implied,no_bid_implied,no_ask_usd_buyable,no_ask_usd_total,last_trade_price,open_time,close_time,status
2026-05-05 20:12:15.310,1778011935,734,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9100,0.9500,549.0000,100.0000,1191.5900,16453.0200,0.0900,0.0500,49.4100,157.4100,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:16.747,1778011936,736,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9100,0.9500,549.0000,100.0000,1191.5900,16453.0200,0.0900,0.0500,49.4100,157.4100,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:18.225,1778011938,737,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9100,0.9500,549.0000,100.0000,1191.5900,16453.0200,0.0900,0.0500,49.4100,157.4100,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:19.622,1778011939,739,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9100,0.9500,549.0000,100.0000,1191.5900,16453.0200,0.0900,0.0500,49.4100,157.4100,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:21.043,1778011941,740,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9100,0.9300,549.0000,7.0000,1201.5900,16460.5300,0.0900,0.0700,49.4100,147.4100,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:22.376,1778011942,741,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9100,0.9300,549.0000,7.0000,1206.5900,16462.5300,0.0900,0.0700,49.4100,142.4100,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:23.814,1778011943,743,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9100,0.9300,549.0000,7.0000,1193.5900,16459.5300,0.0900,0.0700,49.4100,155.4100,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:25.181,1778011945,744,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9100,0.9300,549.0000,7.0000,1188.5900,16460.5300,0.0900,0.0700,49.4100,160.4100,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:26.740,1778011946,746,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9000,0.9300,555.0000,7.0000,1193.5000,12293.5500,0.1000,0.0700,55.5000,161.5000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:28.112,1778011948,747,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9000,0.9300,555.0000,7.0000,1194.5000,12295.5500,0.1000,0.0700,55.5000,160.5000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:29.524,1778011949,749,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9000,0.9300,655.0000,7.0000,1207.5000,12295.5500,0.1000,0.0700,65.5000,147.5000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:30.889,1778011950,750,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9200,0.9300,543.0000,7.0000,1706.0600,24795.5300,0.0800,0.0700,43.4400,191.9400,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:32.248,1778011952,751,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9200,0.9300,543.0000,7.0000,1207.5600,24801.5300,0.0800,0.0700,43.4400,135.4400,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:33.639,1778011953,753,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9200,0.9300,543.0000,7.0000,1210.5600,24801.5300,0.0800,0.0700,43.4400,132.4400,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:34.991,1778011954,754,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9200,0.9300,543.0000,7.0000,1210.5600,24801.5300,0.0800,0.0700,43.4400,132.4400,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:36.357,1778011956,755,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9200,0.9300,543.0000,7.0000,1215.5600,24801.5300,0.0800,0.0700,43.4400,127.4400,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:37.810,1778011957,757,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9200,0.9300,543.0000,7.0000,1215.5600,24801.5300,0.0800,0.0700,43.4400,127.4400,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:39.185,1778011959,758,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9200,0.9300,525.0000,7.0000,1206.0000,24801.5300,0.0800,0.0700,42.0000,119.0000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:40.545,1778011960,760,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9300,0.9800,630.0000,24999.0000,1224.9000,24499.0200,0.0700,0.0200,44.1000,105.1000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:41.885,1778011961,761,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9300,0.9800,630.0000,24999.0000,1224.9000,24598.0200,0.0700,0.0200,44.1000,105.1000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:43.212,1778011963,762,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9300,0.9800,630.0000,24999.0000,1224.9000,24598.0200,0.0700,0.0200,44.1000,105.1000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:44.580,1778011964,764,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9300,0.9800,630.0000,24999.0000,1224.9000,24598.0200,0.0700,0.0200,44.1000,105.1000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:45.986,1778011965,765,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9300,0.9800,630.0000,24999.0000,1224.9000,24796.0200,0.0700,0.0200,44.1000,105.1000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:47.350,1778011967,766,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9300,0.9800,537.0000,25099.0000,1230.4100,24795.0200,0.0700,0.0200,37.5900,106.5900,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:48.704,1778011968,768,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9300,0.9800,537.0000,25099.0000,1230.4100,24795.0200,0.0700,0.0200,37.5900,106.5900,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
